Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Net Amount,VAT Amount,Gross Amount,Description
Defra,Forestry England,10/06/2020,"Buildings, Services, Utilities",Business Services-Finance,Advanced Business Solutions Ltd,141587,30634.75,6126.95,36761.7,Hosting Charges
Defra,Forestry England,10/06/2020,"Buildings, Services, Utilities",Business Services-Finance,Advanced Business Solutions Ltd,141587,22806.59,4561.32,27367.91,Software As A Service
Defra,Forestry England,10/30/2020,Fleet And Machinery Costs,Mechanical And Engineering-Bellingham,Allstar Business Solutions Ltd,144124,9.8,1.95,11.75,Subcontracted Vehicle Repair
Defra,Forestry England,10/30/2020,Fleet And Machinery Costs,Mechanical And Engineering-Lyndhurst,Allstar Business Solutions Ltd,144103,21.66,4.3,25.96,Vehicle Parts And Spares
Defra,Forestry England,10/30/2020,Fleet And Machinery Costs,Mechanical And Engineering-Mes Overhead,Allstar Business Solutions Ltd,144103,24223.38,4844.36,29067.74,Derv
Defra,Forestry England,10/30/2020,Fleet And Machinery Costs,Mechanical And Engineering-Mes Overhead,Allstar Business Solutions Ltd,144103,1412.31,282.35,1694.66,Petrol
Defra,Forestry England,10/30/2020,Fleet And Machinery Costs,Mechanical And Engineering-Mes Overhead,Allstar Business Solutions Ltd,144107,22225.01,4444.78,26669.79,Derv
Defra,Forestry England,10/30/2020,Fleet And Machinery Costs,Mechanical And Engineering-Mes Overhead,Allstar Business Solutions Ltd,144107,828.83,165.68,994.51,Petrol
Defra,Forestry England,10/30/2020,Fleet And Machinery Costs,Mechanical And Engineering-Mes Overhead,Allstar Business Solutions Ltd,144112,29022.48,5804.01,34826.49,Derv
Defra,Forestry England,10/30/2020,Fleet And Machinery Costs,Mechanical And Engineering-Mes Overhead,Allstar Business Solutions Ltd,144112,1517.23,303.25,1820.48,Petrol
Defra,Forestry England,10/30/2020,Fleet And Machinery Costs,Mechanical And Engineering-Mes Overhead,Allstar Business Solutions Ltd,144118,34969.89,6993.48,41963.37,Derv
Defra,Forestry England,10/30/2020,Fleet And Machinery Costs,Mechanical And Engineering-Mes Overhead,Allstar Business Solutions Ltd,144118,1423.27,284.45,1707.72,Petrol
Defra,Forestry England,10/30/2020,Fleet And Machinery Costs,Mechanical And Engineering-Mes Overhead,Allstar Business Solutions Ltd,144124,31655.55,6330.78,37986.33,Derv
